历史行情.指标排序分红股 周期:日线 日期:2026-07-01,三 指标:排序1号 排序2号 
代码   	名称	 涨幅%	 收盘	总金额	近涨	近跌	远涨	远跌	最近涨	十日涨	筹8	COST50	红利金	本金比	年化收益	流通市值亿	
600016	民生银行	0.00	3.22	0	0.006	-0.198	0.283	-0.412	0.028	0.006	0.139	0.702	8.236	6.638	0.327	1141.88	
600755	厦门国贸	0.00	5.42	0	0.013	-0.212	0.204	-0.362	0.062	0.007	0.160	0.745	7.495	3.048	0.088	115.563	
601169	北京银行	0.00	4.90	0	0.006	-0.116	0.589	-0.323	0.021	0.006	0.118	0.754	8.000	4.367	0.313	1036.01	
605368	蓝天燃气	0.00	6.10	0	0.029	-0.374	0.101	-0.566	0.046	0.029	0.281	0.593	3.089	1.268	0.079	43.593	
600681	百川能源	0.00	3.23	0	0.035	-0.388	0.149	-0.427	0.038	0.035	0.247	0.714	1.827	1.416	0.104	43.276	
603801	志邦家居	0.00	5.43	0	0.013	-0.431	0.013	-0.796	0.047	0.013	0.366	0.333	6.072	2.454	-0.160	23.585	
601006	大秦铁路	0.00	4.61	0	0.020	-0.169	0.020	-0.357	0.044	0.020	0.231	0.744	6.366	3.171	0.104	915.679	
600300	维维股份	0.00	2.82	0	0.029	-0.254	0.396	-0.338	0.047	0.029	0.163	0.800	1.128	1.213	0.074	45.603	
数据来源:通达信
